58164,813431
58160,84514
58148,550001
58144,822645
58134,447299
58121,81761
58115,328416
58109,339124
58098,258117
58091,323385
58090,528875
58075,548545
58060,833982
58043,198394
58025,438868
58022,862886
58016,146859
58015,266976
57990,482175
57983,538929
57978,840007
57967,136618
57967,747135
57964,103023
57963,817670
57962,14520
57960,516445
57956,574267
57950,163350
57935,481377
57918,358221
57899,247449
57880,881254
57877,357354
57876,615207
57869,439973
57858,814777
57846,399048
57836,617464
57828,536948
57821,757008
57820,236404
57819,348828
57806,354616
57768,918399
57750,371804
57742,203488
57741,175638
57721,546491
57706,626683
57698,270759
57695,116063
57695,145518
57665,307546
57634,513421
57626,371788
57621,357664
57587,369978
57571,625025
57547,892962
57528,342760
57506,341974
57501,812427
57475,340774
57474,647352
57469,275864
57430,806342
57421,752503
57413,381158
57406,931548
57390,283286
57367,779993
57364,210267
57360,873478
57348,959429
57343,761455
57334,266688
57323,919517
57319,144749
57304,528677
57285,60155
57282,330366
57278,438549
57277,455875
57270,814192
57267,161979
57245,260024
57238,591405
57233,547275
57223,878408
57209,692392
57209,634681
57205,812712
57200,322452
57192,153203
57178,611510
57177,250432
57175,238910
57172,248237
57135,514075
57132,808209
57115,553925
57064,820169
57061,941072
57059,470950
57052,260927
57043,817814
57039,736424
57030,540887
57019,803510
57009,323638
57008,347717
57003,926109
56980,326203
56968,45004
56966,233726
56944,168263
56941,660847
56928,359357
56927,951602
56917,840315
56913,914756
56910,259549
56908,297783
56905,627711
56898,42595
56884,438530
56880,55336
56879,190102
56850,795122
56847,49930
56825,819022
56822,178538
56782,469850
56779,242932
56776,261876
56768,932706
56737,443676
56709,541825
56693,243890
56672,385799
56664,439874
56664,350580
56662,625463
56654,346168
56638,463481
56627,907306
56619,71866
56604,447935
56595,119267
56573,196943
56572,632967
56565,165265
56560,856729
56551,689035
56543,916494
56518,72709
56517,64915
56496,410687
56477,516350
56477,605042
56464,625898
56427,442440
56425,260576
56422,967378
56421,683530
56418,636434
56395,736306
56367,349108
56360,621186
56352,423802
56341,342652
56331,423620
56328,540222
56319,88602
56278,620127
56269,569573
56228,884021
56223,567808
56217,623365
56215,318157
56161,716761
56159,137812
56148,605070
